"","Name","cluster"
"56","1,6-Anhydro-beta-D-Glucose",4.62083
"57","1,6-Anhydro-beta-D-Glucose",4.62083
"58","1,6-Anhydro-beta-D-Glucose",4.62083
"59","1,6-Anhydro-beta-D-Glucose",4.62083
"60","1,6-Anhydro-beta-D-Glucose",4.62083
"61","1,6-Anhydro-beta-D-Glucose",5.44449
"62","1,6-Anhydro-beta-D-Glucose",5.44449
"63","1,6-Anhydro-beta-D-Glucose",5.44449
"64","1,6-Anhydro-beta-D-Glucose",5.44449
"65","1,7-Dimethylxanthine",3.31388
"66","1,7-Dimethylxanthine",3.93307
"67","1,7-Dimethylxanthine",3.93307
"68","1,7-Dimethylxanthine",7.834
"69","1,7-Dimethylxanthine",7.834
"70","1,7-Dimethylxanthine",7.834
"71","1,7-Dimethylxanthine",7.834
"72","2'-Deoxyadenosine",2.55963
"73","2'-Deoxyadenosine",2.55963
"74","2'-Deoxyadenosine",2.55963
"75","2'-Deoxyadenosine",2.55963
"76","2'-Deoxyadenosine",2.55963
"77","2'-Deoxyadenosine",2.55963
"78","2'-Deoxyadenosine",2.55963
"79","2'-Deoxyadenosine",2.55963
"80","2'-Deoxyadenosine",2.83954
"81","2'-Deoxyadenosine",2.83954
"82","2'-Deoxyadenosine",2.83954
"83","2'-Deoxyadenosine",2.83954
"84","2'-Deoxyadenosine",2.83954
"85","2'-Deoxyadenosine",2.83954
"86","2'-Deoxyadenosine",2.83954
"87","2'-Deoxyadenosine",2.83954
"88","2'-Deoxyadenosine",3.77742
"89","2'-Deoxyadenosine",3.77742
"90","2'-Deoxyadenosine",3.77742
"91","2'-Deoxyadenosine",3.77742
"92","2'-Deoxyadenosine",3.83868
"93","2'-Deoxyadenosine",3.83868
"94","2'-Deoxyadenosine",3.83868
"95","2'-Deoxyadenosine",3.83868
"96","2'-Deoxyadenosine",4.18006
"97","2'-Deoxyadenosine",4.18006
"98","2'-Deoxyadenosine",4.18006
"99","2'-Deoxyadenosine",4.18006
"100","2'-Deoxyadenosine",4.18006
"101","2'-Deoxyadenosine",4.18006
"102","2'-Deoxyadenosine",4.18006
"103","2'-Deoxyadenosine",4.18006
"104","2'-Deoxyadenosine",4.64581
"105","2'-Deoxyadenosine",4.64581
"106","2'-Deoxyadenosine",4.64581
"107","2'-Deoxyadenosine",4.64581
"108","2'-Deoxyadenosine",4.64581
"109","2'-Deoxyadenosine",4.64581
"110","2'-Deoxyadenosine",4.64581
"111","2'-Deoxyadenosine",4.64581
"112","2'-Deoxyadenosine",4.64581
"113","2'-Deoxyadenosine",4.64581
"114","2'-Deoxyadenosine",4.64581
"115","2'-Deoxyadenosine",4.64581
"116","2'-Deoxyadenosine",4.64581
"117","2'-Deoxyadenosine",4.64581
"118","2'-Deoxyadenosine",4.64581
"119","2'-Deoxyadenosine",4.64581
